Cell,Lon,Lat,ANT_DIRECTION,ANT_BEAM_WIDTH,UARFCN,SC,RNC-ID,C-ID,LAC
U09949_LVI_CHR_28C_200_U,25.93008,48.29559,200.00,65.00,10762,,,09949,57931
U10301_LVI_CHR_28C_290_U,25.93000,48.29564,290.00,65.00,10712,,,10301,57931
U10304_LVI_CHR_28C_290_U,25.93000,48.29564,290.00,65.00,10737,,,10304,57931
U10307_LVI_CHR_28C_290_U,25.93000,48.29564,290.00,65.00,10762,,,10307,57931
U10351_LVI_CHR_K40_080_U,25.93244,48.25978,80.00,65.00,10712,507,,10351,57942
U10352_LVI_CHR_K40_170_U,25.93244,48.25978,170.00,65.00,10712,508,,10352,57942
U10353_LVI_CHR_K40_260_U,25.93194,48.26044,260.00,65.00,10712,509,,10353,57942
U10354_LVI_CHR_K40_080_U,25.93244,48.25978,80.00,65.00,10737,507,,10354,57942
U10355_LVI_CHR_K40_170_U,25.93244,48.25978,170.00,65.00,10737,508,,10355,57942
U10356_LVI_CHR_K40_260_U,25.93194,48.26044,260.00,65.00,10737,509,,10356,57942
U10357_LVI_CHR_K40_080_U,25.93244,48.25978,80.00,65.00,10762,507,,10357,57942
U10358_LVI_CHR_K40_170_U,25.93244,48.25978,170.00,65.00,10762,508,,10358,57942
U10359_LVI_CHR_K40_260_U,25.93194,48.26044,260.00,65.00,10762,509,,10359,57942
U10511_LVI_CHR_K40_350_U,25.93194,48.26044,350.00,65.00,10712,510,,10511,57942
U10514_LVI_CHR_K40_350_U,25.93194,48.26044,350.00,65.00,10737,510,,10514,57942
U10517_LVI_CHR_K40_350_U,25.93194,48.26044,350.00,65.00,10762,510,,10517,57942
U10521_LVI_CHR_HOT_IN1_U,25.94650,48.27072,0.00,360.00,10712,387,,10521,57942
U10524_LVI_CHR_HOT_IN1_U,25.94650,48.27072,0.00,360.00,10737,387,,10524,57942
U10527_LVI_CHR_HOT_IN1_U,25.94650,48.27072,0.00,360.00,10762,387,,10527,57942
U10531_LVI_CHR_KRA_280_U,25.92600,48.26833,280.00,65.00,10712,323,,10531,57931
U10534_LVI_CHR_KRA_280_U,25.92600,48.26833,280.00,65.00,10737,323,,10534,57931
U10537_LVI_CHR_KRA_280_U,25.92600,48.26833,280.00,65.00,10762,323,,10537,57931
U10631_LVI_CHR_GOL_280_U,25.93884,48.28339,280.00,63.00,10712,302,,10631,57931
U10634_LVI_CHR_GOL_280_U,25.93884,48.28339,280.00,63.00,10737,302,,10634,57931
U10637_LVI_CHR_GOL_280_U,25.93884,48.28339,280.00,63.00,10762,302,,10637,57931
U10691_LVI_CHR_MAM_020_U,25.83250,48.35278,20.00,65.00,10712,331,,10691,57933
U10692_LVI_CHR_MAM_115_U,25.83250,48.35278,115.00,65.00,10712,332,,10692,57933
U10693_LVI_CHR_MAM_280_U,25.83250,48.35278,280.00,65.00,10712,333,,10693,57933
U10694_LVI_CHR_MAM_020_U,25.83250,48.35278,20.00,65.00,10737,331,,10694,57933
U10695_LVI_CHR_MAM_115_U,25.83250,48.35278,115.00,65.00,10737,332,,10695,57933
U10696_LVI_CHR_MAM_280_U,25.83250,48.35278,280.00,65.00,10737,333,,10696,57933
U10697_LVI_CHR_MAM_020_U,25.83250,48.35278,20.00,65.00,10762,331,,10697,57933
U10698_LVI_CHR_MAM_115_U,25.83250,48.35278,115.00,65.00,10762,332,,10698,57933
U10699_LVI_CHR_MAM_280_U,25.83250,48.35278,280.00,65.00,10762,333,,10699,57933
U10861_LVI_CHR_OAZ_030_U,26.00517,48.26858,30.00,65.00,10712,211,,10861,57941
U10862_LVI_CHR_OAZ_120_U,26.00517,48.26858,120.00,65.00,10712,212,,10862,57941
U10863_LVI_CHR_OAZ_210_U,26.00517,48.26858,210.00,65.00,10712,213,,10863,57941
U10864_LVI_CHR_OAZ_030_U,26.00517,48.26858,30.00,65.00,10737,211,,10864,57941
U10865_LVI_CHR_OAZ_120_U,26.00517,48.26858,120.00,65.00,10737,212,,10865,57941
U10866_LVI_CHR_OAZ_210_U,26.00517,48.26858,210.00,65.00,10737,213,,10866,57941
U10867_LVI_CHR_OAZ_030_U,26.00517,48.26858,30.00,65.00,10762,211,,10867,57941
U10868_LVI_CHR_OAZ_120_U,26.00517,48.26858,120.00,65.00,10762,212,,10868,57941
U10869_LVI_CHR_OAZ_210_U,26.00517,48.26858,210.00,65.00,10762,213,,10869,57941
U10871_LVI_CHR_OAZ_300_U,26.00517,48.26858,300.00,65.00,10712,214,,10871,57941
U10874_LVI_CHR_OAZ_300_U,26.00517,48.26858,300.00,65.00,10737,214,,10874,57941
U10877_LVI_CHR_OAZ_300_U,26.00517,48.26858,300.00,65.00,10762,214,,10877,57941
U10881_LVI_CHR_CVI_030_U,25.93253,48.24986,30.00,64.00,10712,338,,10881,57942
U10882_LVI_CHR_CVI_180_U,25.93253,48.24986,180.00,64.00,10712,339,,10882,57942
U10883_LVI_CHR_CVI_280_U,25.93253,48.24986,280.00,64.00,10712,340,,10883,57942
U10884_LVI_CHR_CVI_030_U,25.93253,48.24986,30.00,64.00,10737,338,,10884,57942
U10885_LVI_CHR_CVI_180_U,25.93253,48.24986,180.00,64.00,10737,339,,10885,57942
U10886_LVI_CHR_CVI_280_U,25.93253,48.24986,280.00,64.00,10737,340,,10886,57942
U10887_LVI_CHR_CVI_030_U,25.93253,48.24986,30.00,64.00,10762,338,,10887,57942
U10888_LVI_CHR_CVI_180_U,25.93253,48.24986,180.00,64.00,10762,339,,10888,57942
U10889_LVI_CHR_CVI_280_U,25.93253,48.24986,280.00,64.00,10762,340,,10889,57942
U10911_LVI_CHR_JAB_140_U,25.92075,48.25303,140.00,65.00,10712,306,,10911,57942
U10912_LVI_CHR_JAB_255_U,25.92075,48.25303,255.00,65.00,10712,307,,10912,57942
U10914_LVI_CHR_JAB_140_U,25.92075,48.25303,140.00,65.00,10737,306,,10914,57942
U10915_LVI_CHR_JAB_255_U,25.92075,48.25303,255.00,65.00,10737,307,,10915,57942
U10917_LVI_CHR_JAB_140_U,25.92075,48.25303,140.00,65.00,10762,306,,10917,57942
U10918_LVI_CHR_JAB_255_U,25.92075,48.25303,255.00,65.00,10762,307,,10918,57942
U10921_LVI_CHR_ENT_060_U,25.95061,48.25806,60.00,65.00,10712,155,,10921,57942
U10922_LVI_CHR_ENT_150_U,25.95061,48.25806,150.00,65.00,10712,156,,10922,57942
U10923_LVI_CHR_ENT_300_U,25.95061,48.25806,300.00,65.00,10712,157,,10923,57942
U10924_LVI_CHR_ENT_060_U,25.95061,48.25806,60.00,65.00,10737,155,,10924,57942
U10925_LVI_CHR_ENT_150_U,25.95061,48.25806,150.00,65.00,10737,156,,10925,57942
U10926_LVI_CHR_ENT_300_U,25.95061,48.25806,300.00,65.00,10737,157,,10926,57942
U10927_LVI_CHR_ENT_060_U,25.95061,48.25806,60.00,65.00,10762,155,,10927,57942
U10928_LVI_CHR_ENT_150_U,25.95061,48.25806,150.00,65.00,10762,156,,10928,57942
U10929_LVI_CHR_ENT_300_U,25.95061,48.25806,300.00,65.00,10762,157,,10929,57942
U10981_LVI_CHR_GST_020_U,25.95314,48.25561,20.00,65.00,10712,90,,10981,57942
U10982_LVI_CHR_GST_110_U,25.95337,48.25517,110.00,65.00,10712,91,,10982,57942
U10983_LVI_CHR_GST_200_U,25.95337,48.25517,200.00,65.00,10712,92,,10983,57942
U10984_LVI_CHR_GST_020_U,25.95314,48.25561,20.00,65.00,10737,90,,10984,57942
U10985_LVI_CHR_GST_110_U,25.95337,48.25517,110.00,65.00,10737,91,,10985,57942
U10986_LVI_CHR_GST_200_U,25.95337,48.25517,200.00,65.00,10737,92,,10986,57942
U10987_LVI_CHR_GST_020_U,25.95314,48.25561,20.00,65.00,10762,90,,10987,57942
U10988_LVI_CHR_GST_110_U,25.95337,48.25517,110.00,65.00,10762,91,,10988,57942
U10989_LVI_CHR_GST_200_U,25.95337,48.25517,200.00,65.00,10762,92,,10989,57942
U11001_LVI_CHR_GST_290_U,25.95314,48.25561,290.00,65.00,10712,93,,11001,57942
U11004_LVI_CHR_GST_290_U,25.95314,48.25561,290.00,65.00,10737,93,,11004,57942
U11007_LVI_CHR_GST_290_U,25.95314,48.25561,290.00,65.00,10762,93,,11007,57942
U11011_LVI_CHR_KMA_025_U,25.91856,48.28631,25.00,65.00,10712,160,,11011,57932
U11012_LVI_CHR_KMA_115_U,25.91875,48.28603,115.00,65.00,10712,161,,11012,57932
U11013_LVI_CHR_KMA_205_U,25.91875,48.28603,205.00,65.00,10712,162,,11013,57932
U11014_LVI_CHR_KMA_025_U,25.91856,48.28631,25.00,65.00,10737,160,,11014,57932
U11015_LVI_CHR_KMA_115_U,25.91875,48.28603,115.00,65.00,10737,161,,11015,57932
U11016_LVI_CHR_KMA_205_U,25.91875,48.28603,205.00,65.00,10737,162,,11016,57932
U11017_LVI_CHR_KMA_025_U,25.91856,48.28631,25.00,65.00,10762,160,,11017,57932
U11018_LVI_CHR_KMA_115_U,25.91875,48.28603,115.00,65.00,10762,161,,11018,57932
U11019_LVI_CHR_KMA_205_U,25.91875,48.28603,205.00,65.00,10762,162,,11019,57932
U11021_LVI_CHR_KMA_295_U,25.91856,48.28631,295.00,65.00,10712,163,,11021,57932
U11024_LVI_CHR_KMA_295_U,25.91856,48.28631,295.00,65.00,10737,163,,11024,57932
U11027_LVI_CHR_KMA_295_U,25.91856,48.28631,295.00,65.00,10762,163,,11027,57932
U11371_LVI_CHR_RSA_040_U,25.97872,48.28139,40.00,65.00,10712,395,,11371,57941
U11372_LVI_CHR_RSA_095_U,25.98038,48.28068,95.00,65.00,10712,396,,11372,57941
U11373_LVI_CHR_RSA_305_U,25.97872,48.28139,305.00,65.00,10712,397,,11373,57941
U11374_LVI_CHR_RSA_040_U,25.97872,48.28139,40.00,65.00,10737,395,,11374,57941
U11375_LVI_CHR_RSA_095_U,25.98038,48.28068,95.00,65.00,10737,396,,11375,57941
U11376_LVI_CHR_RSA_305_U,25.97872,48.28139,305.00,65.00,10737,397,,11376,57941
U11377_LVI_CHR_RSA_040_U,25.97872,48.28139,40.00,65.00,10762,395,,11377,57941
U11378_LVI_CHR_RSA_095_U,25.98038,48.28068,95.00,65.00,10762,396,,11378,57941
U11379_LVI_CHR_RSA_305_U,25.97872,48.28139,305.00,65.00,10762,397,,11379,57941
U11411_LVI_CHR_YUN_040_U,25.93431,48.28564,40.00,65.00,10712,,,11411,57931
U11412_LVI_CHR_YUN_150_U,25.93431,48.28564,150.00,65.00,10712,,,11412,57931
U11414_LVI_CHR_YUN_040_U,25.93431,48.28564,40.00,65.00,10737,,,11414,57931
U11415_LVI_CHR_YUN_150_U,25.93431,48.28564,150.00,65.00,10737,,,11415,57931
U11417_LVI_CHR_YUN_040_U,25.93431,48.28564,40.00,65.00,10762,,,11417,57931
U11418_LVI_CHR_YUN_150_U,25.93431,48.28564,150.00,65.00,10762,,,11418,57931
U11671_LVI_CHR_GGA_030_U,25.93150,48.30094,30.00,65.00,10712,248,,11671,57931
U11672_LVI_CHR_GGA_135_U,25.93150,48.30094,135.00,65.00,10712,249,,11672,57931
U11673_LVI_CHR_GGA_270_U,25.93150,48.30094,270.00,65.00,10712,250,,11673,57931
U11674_LVI_CHR_GGA_030_U,25.93150,48.30094,30.00,65.00,10737,248,,11674,57931
U11675_LVI_CHR_GGA_135_U,25.93150,48.30094,135.00,65.00,10737,249,,11675,57931
